,Iteration,Source,0,1,2,3,4,5
259,43.0,1,0.85,0.85,0.5,0.78,0.53,0.8
260,43.0,2,0.85,0.63,0.85,0.73,0.66,0.79
261,43.0,3,0.85,0.5,0.58,0.85,0.73,0.85
262,43.0,4,0.85,0.66,0.74,0.28,0.85,0.85
263,43.0,5,0.85,0.61,0.58,0.66,0.54,0.85
264,44.0,0,0.85,0.85,0.85,0.85,0.85,-0.17
265,44.0,1,0.85,0.85,0.7,0.44,0.66,0.85
266,44.0,2,0.85,0.63,0.85,0.8,0.53,0.85
267,44.0,3,0.85,0.62,0.39,0.85,0.78,0.85
268,44.0,4,0.85,0.38,0.66,0.54,0.85,0.85
269,44.0,5,0.85,0.74,0.63,0.6,0.41,0.85
270,45.0,0,0.85,0.85,0.85,0.85,0.85,-0.18
271,45.0,1,0.85,0.85,0.59,0.56,0.66,0.85
272,45.0,2,0.85,0.55,0.85,0.66,0.71,0.85
273,45.0,3,0.85,0.58,0.49,0.85,0.57,0.85
274,45.0,4,0.85,0.51,0.66,0.55,0.85,0.85
275,45.0,5,0.85,0.73,0.62,0.59,0.42,0.85
276,46.0,0,0.85,0.85,0.85,0.85,0.85,-0.18
277,46.0,1,0.85,0.85,0.77,0.5,0.65,0.85
278,46.0,2,0.85,0.56,0.85,0.5,0.61,0.85
279,46.0,3,0.85,0.63,0.54,0.85,0.56,0.85
280,46.0,4,0.85,0.45,0.71,0.63,0.85,0.85
281,46.0,5,0.85,0.73,0.35,0.73,0.55,0.85
282,47.0,0,0.85,0.85,0.85,0.85,0.79,-0.17
283,47.0,1,0.85,0.85,0.47,0.5,0.78,0.85
284,47.0,2,0.85,0.63,0.85,0.78,0.57,0.79
285,47.0,3,0.85,0.45,0.65,0.85,0.57,0.85
286,47.0,4,0.85,0.45,0.73,0.45,0.85,0.85
287,47.0,5,0.85,0.79,0.48,0.59,0.46,0.85
288,48.0,0,0.85,0.85,0.85,0.85,0.85,-0.19
289,48.0,1,0.85,0.85,0.72,0.71,0.58,0.85
290,48.0,2,0.85,0.57,0.85,0.43,0.85,0.85
291,48.0,3,0.85,0.71,0.51,0.85,0.5,0.85
292,48.0,4,0.85,0.36,0.64,0.51,0.85,0.85
293,48.0,5,0.85,0.73,0.49,0.72,0.43,0.85
294,49.0,0,0.85,0.85,0.8,0.85,0.85,-0.13
295,49.0,1,0.85,0.85,0.43,0.49,0.79,0.8
296,49.0,2,0.85,0.63,0.85,0.67,0.73,0.85
297,49.0,3,0.85,0.56,0.58,0.85,0.59,0.85
298,49.0,4,0.85,0.41,0.65,0.61,0.85,0.85
299,49.0,5,0.85,0.78,0.77,0.6,0.27,0.85
